firm,time,open,high,low,close,dailyreturn,volume,Liquidity,yearReport,lengthReport,TOTALASSETS,LIABILITIES,Currentliabilities,Cashandcashequivalents,Revenue,PAT,SIZE,LEV,ROA,CASHRATIO,RevenueYoY,vnopen,vnhigh,vnlow,vnclose,vnvolume,vngrowth
VTB,2016-09-12 00:00:00.000000 UTC,6.72,6.77,6.72,6.77,0.0304,150,1010.769231,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,665.77,666.04,655.55,659.76,101326011,-0.010700000000000001
VTB,2016-09-09 00:00:00.000000 UTC,6.57,6.57,6.05,6.57,0.0666,80,67111.57895,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,669.24,672.39,666.88,666.88,105911259,0.0012
VTB,2016-09-08 00:00:00.000000 UTC,6.21,6.62,6.05,6.16,-0.0081,6210,814.4262295,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,661.89,668.2,660.54,666.07,124407614,0.0072
VTB,2016-09-07 00:00:00.000000 UTC,6.82,6.82,6.21,6.21,-0.0548,80,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,663.05,663.68,656.22,661.28,106333945,-0.0039000000000000003
VTB,2016-09-06 00:00:00.000000 UTC,6.57,6.57,6.57,6.57,-0.0654,10,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,666.38,668.4,663.9,663.9,108839833,-0.001
VTB,2016-09-05 00:00:00.000000 UTC,7.03,7.03,7.03,7.03,0.0308,330,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,669.3,669.97,660.31,664.55,110262620,-0.0069
VTB,2016-09-01 00:00:00.000000 UTC,6.82,6.82,6.82,6.82,0.0,0,25370.4,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,674.19,674.72,664.77,669.19,101479337,-0.0081000000000000013
VTB,2016-08-31 00:00:00.000000 UTC,6.57,6.82,6.57,6.82,-0.0299,930,0.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,673.1,676.26,671.39,674.63,115708329,0.0029
VTB,2016-08-30 00:00:00.000000 UTC,7.03,7.03,7.03,7.03,0.0308,220,332.6829268,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,667.96,672.67,666.33,672.67,95529958,0.0048
VTB,2016-08-29 00:00:00.000000 UTC,6.41,6.82,6.41,6.82,0.0,20,8184.0,2016,3,434338000000.0,408490000000.0,204245000000.0,4321486539.0,160673000000.0,2017361903.0,11.64,0.9405,0.0046,0.0212,0.3907,670.71,679.62,669.44,669.44,114760345,0.0025
