firm,time,open,high,low,close,dailyreturn,volume,Liquidity,yearReport,lengthReport,TOTALASSETS,LIABILITIES,Currentliabilities,Cashandcashequivalents,Revenue,PAT,SIZE,LEV,ROA,CASHRATIO,RevenueYoY,vnopen,vnhigh,vnlow,vnclose,vnvolume,vngrowth,SentimentLevel,SentimentLevelId,Score,Positive_cnt,Negative_cnt,Neutral_cnt
FPT,2024-05-20 00:00:00.000000 UTC,116.76,117.54,114.86,114.86,-0.0111,2020789,135096808.2,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1281.52,1285.19,1277.36,1277.58,1161563296,0.0034999999999999996,Trung lập,0,48,1,0,0
FPT,2024-05-17 00:00:00.000000 UTC,116.93,117.45,115.46,116.15,-0.0067,2314616,136993918.0,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1270.49,1274.27,1266.32,1273.11,937042992,0.0034000000000000002,Trung lập,0,47,0,1,0
FPT,2024-05-17 00:00:00.000000 UTC,116.93,117.45,115.46,116.15,-0.0067,2314616,136993918.0,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1270.49,1274.27,1266.32,1273.11,937042992,0.0034000000000000002,Trung lập,0,47,1,0,0
FPT,2024-05-16 00:00:00.000000 UTC,117.1,118.57,115.9,116.93,0.0097,3128143,153552017.4,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1264.69,1271.66,1261.19,1268.78,885055936,0.0115,Trung lập,0,46,0,0,1
FPT,2024-05-16 00:00:00.000000 UTC,117.1,118.57,115.9,116.93,0.0097,3128143,153552017.4,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1264.69,1271.66,1261.19,1268.78,885055936,0.0115,Trung lập,0,46,1,0,0
FPT,2024-05-15 00:00:00.000000 UTC,113.56,116.15,113.39,115.81,0.0276,3659473,142999704.6,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1243.28,1257.92,1243.28,1254.39,880174065,0.0089,Trung lập,0,46,1,0,0
FPT,2024-05-13 00:00:00.000000 UTC,113.39,113.56,111.23,112.01,-0.0099,1857811,165881601.7,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1244.7,1249.2,1233.56,1240.18,741579440,-0.0036,Trung lập,0,47,1,0,0
FPT,2024-05-09 00:00:00.000000 UTC,112.79,114.69,112.27,112.53,-0.0053,2208946,232757817.8,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1254.12,1256.8,1243.29,1248.64,771552716,-0.0015,Trung lập,0,48,1,0,0
FPT,2024-05-02 00:00:00.000000 UTC,106.91,111.4,106.65,109.94,0.0333,3477702,130683322.5,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1212.13,1216.36,1206.28,1216.36,570363680,0.0056999999999999993,,,,1,0,0
FPT,2024-05-02 00:00:00.000000 UTC,106.91,111.4,106.65,109.94,0.0333,3477702,130683322.5,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1212.13,1216.36,1206.28,1216.36,570363680,0.0056999999999999993,,,,1,0,0
FPT,2024-04-26 00:00:00.000000 UTC,106.22,108.3,105.53,106.4,0.0,3402188,115462453.4,2024,2,65286200000000.0,32549800000000.0,31353300000000.0,6836260000000.0,15245900000000.0,1875160000000.0,13.81,0.4986,0.0287,0.218,0.2212,1199.6,1216.6,1198.73,1209.52,620884392,0.0038,Sợ hãi,-1,42,1,0,0
