ticker,date,year,quarter,dailyreturn,volume,liquidity
ITD,3/18/2019,2019,1,-0.0165,69670,1337330.741
ITD,3/19/2019,2019,1,-0.0191,78630,1100260.189
ITD,3/20/2019,2019,1,-0.0317,82430,1655262.308
ITD,3/21/2019,2019,1,0.0239,84020,1985813.636
ITD,3/22/2019,2019,1,-0.0319,58090,1899785.556
ITD,3/25/2019,2019,1,-0.0419,107430,863677.7358
ITD,3/26/2019,2019,1,0.0265,19240,3119601.923
ITD,3/27/2019,2019,1,0.0335,33780,451848.4848
ITD,3/28/2019,2019,1,-0.0237,22130,510524.1509
ITD,3/29/2019,2019,1,-0.0051,28980,402457.2093
ITD,4/1/2019,2019,2,-0.0077,35350,1610460
ITD,4/2/2019,2019,2,0.0078,15310,3898600
ITD,4/3/2019,2019,2,0.0051,11390,850798.5714
ITD,4/4/2019,2019,2,0.0409,43110,445349
ITD,4/5/2019,2019,2,0.0000,32990,899783.0769
ITD,4/8/2019,2019,2,-0.0160,13910,479533.2143
ITD,4/9/2019,2019,2,-0.0075,9650,242215.4348
ITD,4/10/2019,2019,2,-0.0088,26750,403776.3158
ITD,4/11/2019,2019,2,0.0127,5450,526975
ITD,4/12/2019,2019,2,0.0038,4740,334546.1538
ITD,4/16/2019,2019,2,-0.0237,67950,1265580
ITD,4/17/2019,2019,2,-0.0090,16380,2796678.947
ITD,4/18/2019,2019,2,-0.0258,57260,384681.8182
ITD,4/19/2019,2019,2,0.0172,10070,1441043.333
ITD,4/22/2019,2019,2,0.0182,32700,145920
ITD,4/23/2019,2019,2,-0.0345,20910,774890.9091
ITD,4/24/2019,2019,2,0.0093,7880,584705.5556
ITD,4/25/2019,2019,2,0.0262,44530,153963.0769
ITD,4/26/2019,2019,2,-0.0179,13160,892883.5897
ITD,5/2/2019,2019,2,-0.0078,21610,439429.5652
ITD,5/3/2019,2019,2,-0.0092,34510,823341
ITD,5/6/2019,2019,2,-0.0172,20830,2004234.615
ITD,5/7/2019,2019,2,0.0040,54280,515195.3333
ITD,5/8/2019,2019,2,0.0671,8120,2128347.368
ITD,5/9/2019,2019,2,-0.0579,6260,129108
ITD,5/10/2019,2019,2,-0.0053,19940,781456.6667
ITD,5/13/2019,2019,2,0.0134,4030,1485530
ITD,5/14/2019,2019,2,0.0172,40,104918.9655
ITD,5/15/2019,2019,2,-0.0039,950,0
ITD,5/16/2019,2019,2,-0.0131,19720,45421.875
ITD,5/17/2019,2019,2,0.0000,6160,572638.4615
ITD,5/20/2019,2019,2,0.0000,22980,465080
ITD,5/21/2019,2019,2,-0.0079,67180,913152.6316
ITD,5/22/2019,2019,2,0.0000,3030,1935300.769
ITD,5/23/2019,2019,2,-0.0053,10290,378245
ITD,5/24/2019,2019,2,-0.0040,12460,383302.5
ITD,5/27/2019,2019,2,0.0094,10,280161.2121
ITD,5/28/2019,2019,2,-0.0174,12380,0
ITD,5/29/2019,2019,2,0.0353,15870,535981.1765
ITD,5/30/2019,2019,2,-0.0092,12220,310075.3846
ITD,5/31/2019,2019,2,-0.0172,17230,709700
ITD,6/3/2019,2019,2,0.0000,13400,639233
ITD,6/4/2019,2019,2,0.0094,30310,497140
ITD,6/5/2019,2019,2,-0.0134,10260,1746322.308
ITD,6/6/2019,2019,2,0.0135,11070,1263690
ITD,6/7/2019,2019,2,-0.0093,3000,829143
ITD,6/10/2019,2019,2,0.0000,10940,318000
ITD,6/11/2019,2019,2,-0.0135,21240,624421.5385
ITD,6/12/2019,2019,2,0.0000,3380,1195975.385
ITD,6/13/2019,2019,2,0.0137,28540,123708
ITD,6/14/2019,2019,2,-0.0135,14950,1058834
ITD,6/17/2019,2019,2,0.0000,16590,2735850
ITD,6/18/2019,2019,2,0.0000,15100,714345.8824
ITD,6/19/2019,2019,2,0.0232,8480,368440
ITD,6/20/2019,2019,2,-0.0174,7280,276153.0435
ITD,6/21/2019,2019,2,0.0000,36130,412160
ITD,6/24/2019,2019,2,0.0217,44570,0
ITD,6/25/2019,2019,2,0.0306,24310,2094790
ITD,6/26/2019,2019,2,-0.0090,2510,523340.2778
ITD,6/27/2019,2019,2,-0.0208,24200,113392.9412
ITD,6/28/2019,2019,2,-0.0133,28390,1137400
ITD,7/1/2019,2019,3,0.0175,4740,2106538
ITD,7/2/2019,2019,3,0.0000,8500,119290
ITD,7/3/2019,2019,3,0.0172,6550,401093.75
ITD,7/4/2019,2019,3,0.0000,31300,314400
ITD,7/5/2019,2019,3,-0.0169,6960,1849107.692
ITD,7/8/2019,2019,3,0.0053,23240,228469.5652
ITD,7/9/2019,2019,3,0.0685,118500,928376.8421
ITD,7/10/2019,2019,3,0.0000,40350,1961295.918
ITD,7/11/2019,2019,3,-0.0123,9280,991631.8182
ITD,7/12/2019,2019,3,-0.0162,37660,323186.087
ITD,7/15/2019,2019,3,0.0000,25480,1561898.947
ITD,7/16/2019,2019,3,-0.0038,5390,409760
ITD,7/17/2019,2019,3,-0.0038,27920,325473.0769
ITD,7/18/2019,2019,3,0.0409,15880,1091672
ITD,7/19/2019,2019,3,0.0000,5390,281006.9565
ITD,7/22/2019,2019,3,-0.0319,19220,219373
ITD,7/23/2019,2019,3,-0.0495,16620,1514536
ITD,7/24/2019,2019,3,0.0307,13190,345788.3333
ITD,7/25/2019,2019,3,-0.0052,19400,339422.6667
ITD,7/26/2019,2019,3,0.0000,3240,382030.7692
ITD,7/29/2019,2019,3,0.0000,13430,414720
ITD,7/30/2019,2019,3,-0.0169,14250,542854.7368
ITD,7/31/2019,2019,3,0.0000,52830,398472.2222
ITD,8/1/2019,2019,3,0.0000,16030,1329555
